"app_in_both_stores","apple_rating","android_rating","apple_price","android_price","apple_genre","android_genre","apple_content_rating","play_content_rating","weighted_rev_count","lifespan_mos","gross","ad_cost","apple_purchase_cost","android_purchase_cost","profit"
"Plants vs. Zombies™ Heroes",4.5,4.4,0.00,0,"Games","Casual;Action & Adventure","9+","Everyone",364284,240,"$600,000.00","$120,000.00","$10,000.00","$10,000.00","$460,000.00"
"Trello",4.5,4.5,0.00,0,"Productivity","Productivity","4+","Everyone",69927,240,"$600,000.00","$120,000.00","$10,000.00","$10,000.00","$460,000.00"
"Google Sheets",4.5,4.3,0.00,0,"Productivity","Productivity","4+","Everyone",474120,240,"$600,000.00","$120,000.00","$10,000.00","$10,000.00","$460,000.00"
"Microsoft OneNote",4.5,4.4,0.00,0,"Productivity","Productivity","4+","Everyone",447041,240,"$600,000.00","$120,000.00","$10,000.00","$10,000.00","$460,000.00"
"Microsoft OneNote",4.5,4.4,0.00,0,"Productivity","Productivity","4+","Everyone",447039,240,"$600,000.00","$120,000.00","$10,000.00","$10,000.00","$460,000.00"
"The Washington Post Classic",4.5,4.5,0.00,0,"News","News & Magazines","12+","Everyone 10+",21116,240,"$600,000.00","$120,000.00","$10,000.00","$10,000.00","$460,000.00"
"WGT Golf Game by Topgolf",4.5,4.3,0.00,0,"Games","Sports","17+","Everyone",122998,240,"$600,000.00","$120,000.00","$10,000.00","$10,000.00","$460,000.00"
"H*nest Meditation",4.5,4.9,1.99,1.99,"Entertainment","Lifestyle","17+","Mature 17+",120,252,"$630,000.00","$132,000.00","$19,900.00","$19,900.00","$458,200.00"
"Dragon Hills",4.5,4.5,1.99,0,"Games","Action","9+","Everyone 10+",349033,240,"$600,000.00","$120,000.00","$19,900.00","$10,000.00","$450,100.00"
"Where's My Water?",4.5,4.7,1.99,1.99,"Games","Puzzle;Brain Games","4+","Everyone",165283,240,"$600,000.00","$120,000.00","$19,900.00","$19,900.00","$440,200.00"
"AJ Jump: Animal Jam Kangaroos!",4.5,4.4,1.99,1.99,"Games","Arcade","4+","Everyone",2506,240,"$600,000.00","$120,000.00","$19,900.00","$19,900.00","$440,200.00"
"Vikings: an Archer's Journey",4.5,4.5,2.99,0,"Games","Action","9+","Everyone",10163,240,"$600,000.00","$120,000.00","$29,900.00","$10,000.00","$440,100.00"
"Bike Unchained",4.0,4.3,0.00,0,"Games","Sports","4+","Everyone",82925,228,"$570,000.00","$120,000.00","$10,000.00","$10,000.00","$430,000.00"
"Deck Heroes: Legacy",4.0,4.7,0.00,0,"Games","Card","17+","Teen",466002,228,"$570,000.00","$120,000.00","$10,000.00","$10,000.00","$430,000.00"
"Fandango Movies - Times + Tickets",4.0,4.6,0.00,0,"Entertainment","Entertainment","4+","Teen",269921,228,"$570,000.00","$120,000.00","$10,000.00","$10,000.00","$430,000.00"
"SONIC Drive-In",4.0,4.3,0.00,0,"Food & Drink","Food & Drink","4+","Everyone",17927,228,"$570,000.00","$120,000.00","$10,000.00","$10,000.00","$430,000.00"
"ADP Mobile Solutions",4.0,4.3,0.00,0,"Business","Business","4+","Everyone",78342,228,"$570,000.00","$120,000.00","$10,000.00","$10,000.00","$430,000.00"
"Shopkins World!",4.0,4.3,0.00,0,"Games","Arcade;Action & Adventure","4+","Everyone",166669,228,"$570,000.00","$120,000.00","$10,000.00","$10,000.00","$430,000.00"
"Amex Mobile",4.0,4.3,0.00,0,"Finance","Finance","4+","Everyone",20524,228,"$570,000.00","$120,000.00","$10,000.00","$10,000.00","$430,000.00"
"My Emma :)",4.5,4.1,0.00,0,"Games","Casual","4+","Everyone",237983,228,"$570,000.00","$120,000.00","$10,000.00","$10,000.00","$430,000.00"
"SONIC Drive-In",4.0,4.3,0.00,0,"Food & Drink","Food & Drink","4+","Everyone",17985,228,"$570,000.00","$120,000.00","$10,000.00","$10,000.00","$430,000.00"
"Tomb of the Mask",4.5,4.1,0.00,0,"Games","Action","9+","Everyone",49371,228,"$570,000.00","$120,000.00","$10,000.00","$10,000.00","$430,000.00"
"USAA Mobile",4.0,4.5,0.00,0,"Finance","Finance","4+","Everyone",87630,228,"$570,000.00","$120,000.00","$10,000.00","$10,000.00","$430,000.00"
"Airbnb",4.0,4.4,0.00,0,"Travel","Travel & Local","4+","Everyone",339707,228,"$570,000.00","$120,000.00","$10,000.00","$10,000.00","$430,000.00"
"Fandango Movies - Times + Tickets",4.0,4.6,0.00,0,"Entertainment","Entertainment","4+","Teen",269921,228,"$570,000.00","$120,000.00","$10,000.00","$10,000.00","$430,000.00"
"Endless Ducker",4.0,4.5,0.00,0,"Games","Arcade","4+","Everyone",7646,228,"$570,000.00","$120,000.00","$10,000.00","$10,000.00","$430,000.00"
"Airbnb",4.0,4.4,0.00,0,"Travel","Travel & Local","4+","Everyone",339863,228,"$570,000.00","$120,000.00","$10,000.00","$10,000.00","$430,000.00"
"Mad Skills Motocross",4.5,4.0,0.99,0,"Games","Racing","12+","Everyone",27349,228,"$570,000.00","$120,000.00","$10,000.00","$10,000.00","$430,000.00"
"Shopkins World!",4.0,4.3,0.00,0,"Games","Arcade;Action & Adventure","4+","Everyone",166669,228,"$570,000.00","$120,000.00","$10,000.00","$10,000.00","$430,000.00"
"Firefox Focus: The privacy browser",4.0,4.4,0.00,0,"Utilities","Communication","17+","Everyone",36516,228,"$570,000.00","$120,000.00","$10,000.00","$10,000.00","$430,000.00"
