"app_in_both_stores","weighted_rev_count","lifespan_mos","gross","ad_cost","apple_purchase_cost","android_purchase_cost","profit","apple_genre","android_genre"
"NCAA Sports","3800",168,"$420,000.00","$108,000.00","$10,000.00","$10,000.00","$292,000.00","Sports","Sports"
"NBC Sports","66699",156,"$390,000.00","$84,000.00","$10,000.00","$10,000.00","$286,000.00","Sports","Sports"
"AirWatch Agent","19942",156,"$390,000.00","$84,000.00","$10,000.00","$10,000.00","$286,000.00","Business","Business"
"My College Bookstore","550",156,"$390,000.00","$84,000.00","$10,000.00","$10,000.00","$286,000.00","Shopping","Shopping"
"McDonald's","141492",156,"$390,000.00","$96,000.00","$10,000.00","$10,000.00","$274,000.00","Food & Drink","Food & Drink"
"myChevrolet","5963",156,"$390,000.00","$96,000.00","$10,000.00","$10,000.00","$274,000.00","Lifestyle","Lifestyle"
"Peppa Pig: Party Time","45",168,"$420,000.00","$108,000.00","$10,000.00","$29,900.00","$272,100.00","Education","Educational;Pretend Play"
"AMC","18543",144,"$360,000.00","$84,000.00","$10,000.00","$10,000.00","$256,000.00","Entertainment","Entertainment"
"FINAL FANTASY V","14484",240,"$600,000.00","$120,000.00","$149,900.00","$79,900.00","$250,200.00","Games","Role Playing"
"Baldur's Gate: Enhanced Edition","18843",228,"$570,000.00","$120,000.00","$99,900.00","$99,900.00","$250,200.00","Games","Role Playing"
"SNCF","15743",144,"$360,000.00","$96,000.00","$10,000.00","$10,000.00","$244,000.00","Travel","Travel & Local"
"XCOM®: Enemy Within","11878",216,"$540,000.00","$108,000.00","$99,900.00","$99,900.00","$232,200.00","Games","Strategy"
"Philips Hue","8672",132,"$330,000.00","$84,000.00","$10,000.00","$10,000.00","$226,000.00","Lifestyle","Lifestyle"
"AnatomyMapp","67",204,"$510,000.00","$108,000.00","$99,900.00","$149,900.00","$152,200.00","Medical","Medical"
"Muscle Premium - Human Anatomy, Kinesiology, Bones","336",228,"$570,000.00","$120,000.00","$199,900.00","$249,900.00","$200.00","Medical","Medical"
